post_grad,idt_mil,cpf,precp,nome,nome_guerra,Nascimento,data_praca,turma,ult_promo,curso,pensao_1.5,pensao_judicial,nr_dep_irpf,nr_dep_sal_fam,nr_filhos,nr_filhos_menos_6,valor_dia_val_transp,pnr
Ten Cel,999999000,999999000,126000000,AAAAA BBBBBBBB CC DDDDDDD,AAAAA,7,21/02/1994,18/12/1998,31/08/2018,,,,,,,,,
Maj,999999001,999999001,126000001,AAAAA BBBBBBBB CC DDDDDDD,AAAAA BBBBB,10,19/01/1998,29/11/2002,31/08/2016,,,,,,,,,
Cap,999999002,999999002,126000002,AAAAA BBBBBBBB CC DDDDDDD,,6,19/02/2005,28/11/2009,25/12/2015,,,,,,,,,
Cap | QAO,999999003,999999003,126000003,AAAAA BBBBBBBB CC DDDDDDD,,8,05/02/1990,30/11/1990,01/06/2018,,,,,,,,,
1º Ten,999999004,999999004,126000004,AAAAA BBBBBBBB CC DDDDDDD,,7,03/02/2012,01/12/2016,01/12/2016,,,,,,,,,
1º Ten | QAO,999999005,999999005,126000005,AAAAA BBBBBBBB CC DDDDDDD,,9,04/02/1991,29/11/1991,01/12/2017,,,,,,,,,
1º Ten | Temp,999999006,999999006,126000006,AAAAA BBBBBBBB CC DDDDDDD,,3,20/06/2016,,31/08/2019,,,,,,,,,
2º Ten | QAO,999999007,999999007,126000007,AAAAA BBBBBBBB CC DDDDDDD,,6,31/01/1994,25/11/1994,01/12/2020,,,,,,,,,
2º Ten | Temp,999999008,999999008,126000008,AAAAA BBBBBBBB CC DDDDDDD,,5,08/06/2020,,25/12/2020,,,,,,,,,
Asp Of | Temp,999999009,999999009,126000009,AAAAA BBBBBBBB CC DDDDDDD,,5,01/02/2021,,01/02/2021,,,,,,,,,
S Ten,999999010,999999010,126000010,AAAAA BBBBBBBB CC DDDDDDD,,8,03/02/1992,27/11/1992,01/12/2013,,,,,,,,,
1º Sgt,999999011,999999011,126000011,AAAAA BBBBBBBB CC DDDDDDD,,12,07/02/2000,24/11/2000,01/12/2016,,,,,,,,,
2º Sgt | QE,999999012,999999012,126000012,AAAAA BBBBBBBB CC DDDDDDD,,4,04/02/1991,,01/12/2013,,,,,,,,,
3º Sgt,999999013,999999013,126000013,AAAAA BBBBBBBB CC DDDDDDD,,1,30/04/2012,29/11/2013,29/11/2013,Especialização,,,,,,,,
3º Sgt | Temp,999999014,999999014,126000014,AAAAA BBBBBBBB CC DDDDDDD,,3,01/02/2014,,01/02/2014,,,,,,,,,
Cb,999999015,999999015,126000015,AAAAA BBBBBBBB CC DDDDDDD,,2,01/03/2014,,01/04/2016,,,,,,,,,
Sd Ep,999999016,999999016,126000016,AAAAA BBBBBBBB CC DDDDDDD,,10,01/03/2014,,01/03/2015,,,,,,,,,
Sd Ev,999999017,999999017,126000017,AAAAA BBBBBBBB CC DDDDDDD,,4,01/03/2021,,,,,,,,,,,
